Player_Name,Matches_Batted,Batting_Average,Runs_Scored,Matches_Bowled,Bowling_Average,Wickets_Taken
Ruturaj Gaikwad,2.0,30.5,61.0,2.0,0.0,0.0
Ruturaj Gaikwad,16.0,42.14,590.0,16.0,0.0,0.0
Ruturaj Gaikwad,14.0,26.29,368.0,14.0,0.0,0.0
Ruturaj Gaikwad,16.0,45.35,635.0,16.0,0.0,0.0
Ruturaj Gaikwad,6.0,51.0,204.0,6.0,0.0,0.0
Devon Conway,16.0,51.69,672.0,16.0,0.0,0.0
Devon Conway,7.0,42.0,252.0,7.0,0.0,0.0
MS Dhoni,2.0,0.0,0.0,2.0,0.0,0.0
MS Dhoni,16.0,26.0,104.0,16.0,0.0,0.0
MS Dhoni,14.0,33.14,232.0,14.0,0.0,0.0
MS Dhoni,16.0,16.28,114.0,16.0,0.0,0.0
MS Dhoni,14.0,25.0,200.0,14.0,0.0,0.0
MS Dhoni,15.0,83.2,416.0,15.0,0.0,0.0
MS Dhoni,16.0,75.83,455.0,16.0,0.0,0.0
MS Dhoni,16.0,26.36,290.0,16.0,0.0,0.0
MS Dhoni,14.0,40.57,284.0,14.0,0.0,0.0
MS Dhoni,17.0,31.0,372.0,17.0,0.0,0.0
MS Dhoni,16.0,74.2,371.0,16.0,0.0,0.0
MS Dhoni,18.0,41.9,461.0,18.0,0.0,0.0
MS Dhoni,19.0,29.83,358.0,19.0,0.0,0.0
MS Dhoni,16.0,43.55,392.0,16.0,0.0,0.0
MS Dhoni,13.0,31.88,287.0,13.0,0.0,0.0
MS Dhoni,14.0,41.5,332.0,14.0,0.0,0.0
MS Dhoni,16.0,41.4,414.0,16.0,0.0,0.0
Ajinkya Rahane,2.0,19.5,39.0,2.0,0.0,0.0
Ajinkya Rahane,14.0,32.6,326.0,14.0,0.0,0.0
Ajinkya Rahane,7.0,19.0,133.0,7.0,0.0,0.0
Ajinkya Rahane,2.0,8.0,8.0,0.0,0.0,0.0
Ajinkya Rahane,9.0,14.12,113.0,9.0,0.0,0.0
Ajinkya Rahane,14.0,32.75,393.0,14.0,0.0,0.0
Ajinkya Rahane,15.0,28.46,370.0,15.0,0.0,0.0
Ajinkya Rahane,16.0,25.46,382.0,16.0,0.0,0.0
Ajinkya Rahane,14.0,43.63,480.0,14.0,0.0,0.0
Ajinkya Rahane,14.0,49.09,540.0,14.0,0.0,0.0
Ajinkya Rahane,13.0,28.25,339.0,13.0,0.0,0.0
Ajinkya Rahane,18.0,34.85,488.0,18.0,0.0,0.0
Ajinkya Rahane,16.0,40.0,560.0,16.0,0.0,0.0
Ajinkya Rahane,10.0,20.0,120.0,10.0,0.0,0.0
Ajinkya Rahane,8.0,24.0,144.0,8.0,5.0,1.0
Ajinkya Rahane,2.0,2.0,4.0,0.0,0.0,0.0
Shaik Rasheed,0.0,0.0,0.0,0.0,0.0,0.0
Sameer Rizvi,2.0,0.0,0.0,2.0,0.0,0.0
Avanish Rao Aravelly,0.0,0.0,0.0,0.0,0.0,0.0
Ravindra Jadeja,2.0,0.0,25.0,2.0,0.0,0.0
Ravindra Jadeja,16.0,23.75,190.0,16.0,21.55,20.0
Ravindra Jadeja,10.0,19.33,116.0,10.0,49.6,5.0
Ravindra Jadeja,16.0,75.66,227.0,16.0,26.61,13.0
Ravindra Jadeja,14.0,46.4,232.0,14.0,53.0,6.0
Ravindra Jadeja,16.0,35.33,106.0,16.0,22.86,15.0
Ravindra Jadeja,16.0,17.8,89.0,16.0,27.54,11.0
Ravindra Jadeja,12.0,39.5,158.0,12.0,69.8,5.0
Ravindra Jadeja,15.0,21.22,191.0,15.0,38.87,8.0
Ravindra Jadeja,17.0,18.85,132.0,17.0,30.0,11.0
Ravindra Jadeja,16.0,29.2,146.0,16.0,23.31,19.0
Ravindra Jadeja,18.0,25.12,201.0,18.0,24.84,13.0
Ravindra Jadeja,19.0,15.91,191.0,19.0,22.75,12.0
Ravindra Jadeja,14.0,31.44,283.0,14.0,38.12,8.0
Ravindra Jadeja,13.0,26.81,295.0,13.0,25.16,6.0
Ravindra Jadeja,14.0,19.28,135.0,14.0,0.0,0.0
Mitchell Santner,3.0,0.0,2.0,3.0,27.0,3.0
Mitchell Santner,6.0,11.0,22.0,6.0,32.5,4.0
Mitchell Santner,2.0,0.0,0.0,2.0,26.5,2.0
Mitchell Santner,4.0,32.0,32.0,4.0,23.5,4.0
Moeen Ali,15.0,17.71,124.0,15.0,21.67,9.0
Moeen Ali,10.0,24.4,244.0,10.0,19.75,8.0
Moeen Ali,15.0,25.5,357.0,15.0,26.83,6.0
Moeen Ali,3.0,4.0,12.0,3.0,42.0,1.0
Moeen Ali,11.0,27.5,220.0,11.0,28.16,6.0
Moeen Ali,5.0,19.25,77.0,5.0,32.33,3.0
Shivam Dube,2.0,0.0,70.0,2.0,0.0,0.0
Shivam Dube,16.0,38.0,418.0,16.0,0.0,0.0
Shivam Dube,11.0,28.9,289.0,11.0,0.0,0.0
Shivam Dube,9.0,28.75,230.0,9.0,0.0,0.0
Shivam Dube,11.0,18.42,129.0,11.0,18.25,4.0
Shivam Dube,4.0,13.33,40.0,4.0,0.0,0.0
Nishant Sindhu,0.0,0.0,0.0,0.0,0.0,0.0
Ajay Mandal,0.0,0.0,0.0,0.0,0.0,0.0
Rachin Ravindra,2.0,41.5,83.0,2.0,0.0,0.0
Shardul Thakur,11.0,14.13,113.0,11.0,31.43,7.0
Shardul Thakur,14.0,15.0,120.0,14.0,31.53,15.0
Shardul Thakur,16.0,2.5,5.0,16.0,25.09,21.0
Shardul Thakur,9.0,12.0,12.0,9.0,27.5,10.0
Shardul Thakur,10.0,7.0,14.0,10.0,35.12,8.0
Shardul Thakur,13.0,0.0,15.0,13.0,26.93,16.0
Shardul Thakur,12.0,0.0,0.0,12.0,28.63,11.0
Shardul Thakur,1.0,0.0,7.0,1.0,38.0,1.0
Daryl Mitchell,2.0,30.0,30.0,2.0,0.0,0.0
Daryl Mitchell,2.0,16.5,33.0,2.0,0.0,0.0
Rajvardhan Hangargekar,2.0,0.0,0.0,2.0,20.0,3.0
Deepak Chahar,2.0,0.0,0.0,2.0,37.0,1.0
Deepak Chahar,10.0,0.0,1.0,10.0,22.85,13.0
Deepak Chahar,15.0,0.0,1.0,15.0,32.21,14.0
Deepak Chahar,14.0,7.0,7.0,14.0,33.0,12.0
Deepak Chahar,17.0,3.5,7.0,17.0,21.9,22.0
Deepak Chahar,12.0,16.66,50.0,12.0,27.8,10.0
Deepak Chahar,3.0,14.0,14.0,3.0,74.0,1.0
Deepak Chahar,2.0,0.0,0.0,2.0,0.0,0.0
Maheesh Theekshana,1.0,0.0,0.0,1.0,0.0,0.0
Maheesh Theekshana,13.0,0.0,0.0,13.0,35.64,11.0
Maheesh Theekshana,9.0,7.0,7.0,9.0,21.75,12.0
Mukesh Choudhary,13.0,6.0,6.0,13.0,26.5,16.0
Mustafizur Rahman,2.0,0.0,0.0,2.0,7.25,4.0
Mustafizur Rahman,2.0,0.0,1.0,2.0,79.0,1.0
Mustafizur Rahman,8.0,0.0,3.0,8.0,30.5,8.0
Mustafizur Rahman,14.0,0.0,8.0,14.0,31.14,14.0
Mustafizur Rahman,7.0,1.0,1.0,7.0,32.85,7.0
Mustafizur Rahman,1.0,0.0,0.0,1.0,0.0,0.0
Mustafizur Rahman,16.0,0.0,0.0,16.0,24.76,17.0
Prashant Solanki,2.0,0.0,0.0,2.0,19.0,2.0
Simarjeet Singh,6.0,7.0,7.0,6.0,34.5,4.0
Tushar Deshpande,2.0,0.0,0.0,2.0,0.0,0.0
Tushar Deshpande,16.0,0.0,0.0,16.0,26.86,21.0
Tushar Deshpande,2.0,0.0,0.0,2.0,63.0,1.0
Tushar Deshpande,5.0,21.0,21.0,5.0,64.0,3.0
Matheesha Pathirana,12.0,0.0,0.0,12.0,19.53,19.0
Matheesha Pathirana,2.0,0.0,0.0,2.0,26.0,2.0
Rishabh Pant,1.0,18.0,18.0,1.0,0.0,0.0
Rishabh Pant,14.0,30.91,340.0,14.0,0.0,0.0
Rishabh Pant,16.0,34.91,419.0,16.0,0.0,0.0
Rishabh Pant,14.0,31.18,343.0,14.0,0.0,0.0
Rishabh Pant,16.0,37.53,488.0,16.0,0.0,0.0
Rishabh Pant,14.0,52.61,684.0,14.0,0.0,0.0
Rishabh Pant,14.0,26.14,366.0,14.0,0.0,0.0
Rishabh Pant,10.0,24.75,198.0,10.0,0.0,0.0
David Warner,1.0,29.0,29.0,1.0,0.0,0.0
David Warner,14.0,36.86,516.0,14.0,0.0,0.0
David Warner,12.0,48.0,432.0,12.0,0.0,0.0
David Warner,8.0,24.37,195.0,8.0,0.0,0.0
David Warner,16.0,39.14,548.0,16.0,0.0,0.0
David Warner,12.0,69.2,692.0,12.0,0.0,0.0
David Warner,14.0,58.27,641.0,14.0,0.0,0.0
David Warner,17.0,60.57,848.0,17.0,0.0,0.0
David Warner,14.0,43.23,562.0,14.0,0.0,0.0
David Warner,14.0,48.0,528.0,14.0,0.0,0.0
David Warner,16.0,31.53,410.0,16.0,0.0,0.0
David Warner,8.0,36.57,256.0,8.0,0.0,0.0
David Warner,13.0,24.92,324.0,13.0,0.0,0.0
David Warner,11.0,28.2,282.0,11.0,0.0,0.0
David Warner,7.0,23.29,163.0,7.0,0.0,0.0
Prithvi Shaw,8.0,13.25,106.0,8.0,0.0,0.0
Prithvi Shaw,10.0,28.3,283.0,10.0,0.0,0.0
Prithvi Shaw,15.0,31.93,479.0,15.0,0.0,0.0
Prithvi Shaw,13.0,17.53,228.0,13.0,0.0,0.0
